15173678 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=177 pub=177 decf=925 vpkt=1011 gate=1 dfps=26 rfps=57 aclk=7.17 vclk=862.94
15174705 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=25 rfps=60 aclk=7.64 vclk=863.34
15175730 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=6 rfps=45 aclk=7.64 vclk=863.34
15176756 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=40 aclk=7.64 vclk=863.34
15177765 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=40 aclk=7.64 vclk=863.34
15178775 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=43 aclk=7.64 vclk=863.34
15179799 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
15180825 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=46 aclk=7.64 vclk=863.34
15181835 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=46 aclk=7.64 vclk=863.34
15182845 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=43 aclk=7.64 vclk=863.34
15183853 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15184871 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
15185890 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15186907 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15187917 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15188943 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15189969 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=48 aclk=7.64 vclk=863.34
15190986 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
